roll_no,image_id_1,image_id_2,similarity_score
Kristin_Chenoweth,0002,0001,0.4782771
Kristin_Chenoweth,0003,0004,0.78571516
Kristin_Chenoweth,0003,0001,0.5241337
Kristin_Chenoweth,0004,0001,0.42940396
Hector_Babenco,0003,0004,0.643146
Hector_Babenco,0003,0002,0.717703
Hector_Babenco,0003,0001,0.49919403
Hector_Babenco,0004,0002,0.6302755
Hector_Babenco,0004,0001,0.57195145
Hector_Babenco,0002,0001,0.6153679
Jennifer_Gratz,0001,0002,0.5273831
Chris_Moore,0001,0002,0.014801989
Steve_Zahn,0003,0002,0.7004957
Steve_Zahn,0003,0004,0.6040876
Steve_Zahn,0003,0001,0.6515266
Steve_Zahn,0002,0004,0.54499483
Steve_Zahn,0002,0001,0.6442573
Steve_Zahn,0004,0001,0.52052534
Thomas_Enqvist,0001,0002,0.66684574
Thomas_Enqvist,0001,0003,0.6209068
Thomas_Enqvist,0002,0003,0.7561757
Matt_LeBlanc,0001,0002,0.6569414
Matt_LeBlanc,0001,0003,0.58160126
Matt_LeBlanc,0002,0003,0.75233865
Khalid_Qazi,0002,0001,-0.060145438
Sylvie_Guillem,0003,0002,0.5789008
Sylvie_Guillem,0003,0004,0.70400304
Sylvie_Guillem,0003,0001,0.47535172
Sylvie_Guillem,0002,0004,0.44884747
Sylvie_Guillem,0002,0001,0.3565693
Sylvie_Guillem,0004,0001,0.51255405
Natalie_Williams,0002,0001,0.59817547
Gene_Robinson,0001,0002,0.70817137
Jacques_Rogge,0004,0001,0.6233624
Jacques_Rogge,0004,0003,0.6802231
Jacques_Rogge,0004,0002,0.64646226
Jacques_Rogge,0001,0003,0.561679
Jacques_Rogge,0001,0002,0.5374978
Jacques_Rogge,0003,0002,0.74716616
Jan_Bjoerklund,0001,0002,0.63589233
Lynn_Redgrave,0001,0002,0.41740564
Lynn_Redgrave,0001,0003,0.40501857
Lynn_Redgrave,0002,0003,0.65785605
Troy_Garity,0002,0001,0.5095093
Maria_Sanchez_Lorenzo,0001,0002,0.5418127
Eric_Staal,0002,0001,0.66717404
Brian_Jordan,0003,0001,0.63383764
Brian_Jordan,0003,0002,0.64825964
Brian_Jordan,0001,0002,0.69083345
Eric_Hinske,0003,0001,0.7164498
Eric_Hinske,0003,0004,0.5601453
Eric_Hinske,0003,0002,0.60244393
Eric_Hinske,0001,0004,0.4592092
Eric_Hinske,0001,0002,0.55662453
Eric_Hinske,0004,0002,0.5369969
Darcy_Regier,0003,0001,0.65773225
Darcy_Regier,0003,0002,0.74411523
Darcy_Regier,0003,0004,0.78916276
Darcy_Regier,0001,0002,0.8236275
Darcy_Regier,0001,0004,0.554573
Darcy_Regier,0002,0004,0.65790296
Lucy_Liu,0001,0003,0.69586337
Lucy_Liu,0001,0004,0.6323544
Lucy_Liu,0001,0002,0.5377402
Lucy_Liu,0003,0004,0.7124374
Lucy_Liu,0003,0002,0.6571511
Lucy_Liu,0004,0002,0.5824276
Eliane_Karp,0001,0002,0.21984687
Eliane_Karp,0001,0004,0.2378206
Eliane_Karp,0001,0003,0.42605823
Eliane_Karp,0002,0004,0.70029193
Eliane_Karp,0002,0003,0.4988668
Eliane_Karp,0004,0003,0.555405
Ian_Wilmut,0002,0001,0.50661296
Geoff_Hoon,0001,0003,0.6223725
Geoff_Hoon,0001,0002,0.60002875
Geoff_Hoon,0001,0004,0.5746149
Geoff_Hoon,0003,0002,0.7452661
Geoff_Hoon,0003,0004,0.78295237
Geoff_Hoon,0002,0004,0.8106892
Laura_Bush,0001,0004,0.42815408
Laura_Bush,0001,0002,0.462655
Laura_Bush,0001,0003,0.41813147
Laura_Bush,0004,0002,0.6430723
Laura_Bush,0004,0003,0.65949047
Laura_Bush,0002,0003,0.7282642
Sergio_Vieira_De_Mello,0001,0004,0.5512762
Sergio_Vieira_De_Mello,0001,0002,0.6248934
Sergio_Vieira_De_Mello,0001,0003,0.60580134
Sergio_Vieira_De_Mello,0004,0002,0.66727555
Sergio_Vieira_De_Mello,0004,0003,0.6618321
Sergio_Vieira_De_Mello,0002,0003,0.73983645
John_Negroponte,0002,0003,0.54908335
John_Negroponte,0002,0001,0.75896615
John_Negroponte,0002,0004,0.5184886
John_Negroponte,0003,0001,0.6451636
John_Negroponte,0003,0004,0.7312901
John_Negroponte,0001,0004,0.5669865
Francis_Ford_Coppola,0003,0002,0.3478225
Francis_Ford_Coppola,0003,0004,0.6621651
Francis_Ford_Coppola,0003,0001,0.48731905
Francis_Ford_Coppola,0002,0004,0.39285833
Francis_Ford_Coppola,0002,0001,0.5901249
Francis_Ford_Coppola,0004,0001,0.50223947
Hugh_Campbell,0002,0001,0.65486276
Bobby_Robson,0003,0002,0.6792151
Bobby_Robson,0003,0001,0.6295058
Bobby_Robson,0002,0001,0.82391864
Rudolph_Giuliani,0002,0003,0.70095795
Rudolph_Giuliani,0002,0004,0.43389177
Rudolph_Giuliani,0002,0001,0.44108987
Rudolph_Giuliani,0003,0004,0.5819319
Rudolph_Giuliani,0003,0001,0.549384
Rudolph_Giuliani,0004,0001,0.581697
Glenn_Rivers,0004,0003,0.64080304
Glenn_Rivers,0004,0002,0.5668014
Glenn_Rivers,0004,0001,0.60358906
Glenn_Rivers,0003,0002,0.52299374
Glenn_Rivers,0003,0001,0.46655598
Glenn_Rivers,0002,0001,0.6020444
Richard_Greenberg,0004,0002,0.7676219
Richard_Greenberg,0004,0001,0.6359661
Richard_Greenberg,0004,0003,0.6813646
Richard_Greenberg,0002,0001,0.7046335
Richard_Greenberg,0002,0003,0.7093235
Richard_Greenberg,0001,0003,0.73592687
Gideon_Yago,0001,0002,0.6157014
Gideon_Yago,0001,0003,0.63191223
Gideon_Yago,0002,0003,0.5765314
Gregory_Hines,0001,0003,0.69827616
Gregory_Hines,0001,0002,0.7116916
Gregory_Hines,0001,0004,0.7528907
Gregory_Hines,0003,0002,0.6893455
Gregory_Hines,0003,0004,0.6923183
Gregory_Hines,0002,0004,0.7379655
Michael_Moore,0004,0002,0.5400043
Michael_Moore,0004,0001,0.5463588
Michael_Moore,0004,0003,0.7995229
Michael_Moore,0002,0001,0.63587457
Michael_Moore,0002,0003,0.56984067
Michael_Moore,0001,0003,0.56957734
Bijan_Darvish,0002,0001,0.6267072
Jay_Rasulo,0001,0002,0.65817076
Jay_Rasulo,0001,0003,0.5757754
Jay_Rasulo,0002,0003,0.6254319
Julio_Iglesias_Jr,0003,0001,0.5705928
Julio_Iglesias_Jr,0003,0004,0.69019794
Julio_Iglesias_Jr,0003,0002,0.73763806
Julio_Iglesias_Jr,0001,0004,0.5486249
Julio_Iglesias_Jr,0001,0002,0.69292235
Julio_Iglesias_Jr,0004,0002,0.72970164
Orrin_Hatch,0002,0001,0.5584317
Tono_Suratman,0002,0001,0.5849875
Seydou_Diarra,0002,0001,0.5239153
Karin_Viard,0004,0003,0.60336256
Karin_Viard,0004,0002,0.6785492
Karin_Viard,0004,0001,0.6479498
Karin_Viard,0003,0002,0.50219154
Karin_Viard,0003,0001,0.56535053
Karin_Viard,0002,0001,0.6225326
Janet_Chandler,0003,0001,0.0054713637
Janet_Chandler,0003,0002,0.7237278
Janet_Chandler,0001,0002,0.0874874
Shi_Guangsheng,0001,0003,-0.0053196726
Shi_Guangsheng,0001,0002,0.009327539
Shi_Guangsheng,0001,0004,-0.021902703
Shi_Guangsheng,0003,0002,0.74186206
Shi_Guangsheng,0003,0004,0.84738123
Shi_Guangsheng,0002,0004,0.74926364
Moshe_Katsav,0001,0002,0.6126396
Horst_Koehler,0002,0001,0.6437658
Guillaume_Soro,0001,0002,0.57212347
Steve_Largent,0004,0002,0.543797
Steve_Largent,0004,0001,0.50359976
Steve_Largent,0004,0003,0.6375646
Steve_Largent,0002,0001,0.49746066
